sample_filename,raw_sha,converted_sha
20240405_EB_dbgi_003070_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,7e8cdcf40452cc6d3ba24512fa098a4e1e583455,5bb3a4ce1998b276f295bc63e40090dff5d8e66d
20240307_EB_dbgi_001915_01_01.mzML,83cfa298ced04c53d3363c0ef2bda08d87b9ede3,31eacf3f4519417f28c33ebd90cc4014ae628b6f
202405081555_EB_dbgi_003031_01_01.mzML,52bc3f40b9232fed3acaae8afd3b8c131740ef87,a1218db8a7568153eb87504201cf9aff9c1b1539
20240405_EB_dbgi_002511_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,3a607561278d560179b2a38acd50e5c6cb30d5af,a7091c99599cb1cd7c3197e0f1342721dbad4deb
202405241509_EB_dbgi_002529_01_01.mzML,cf325c9113ae68b2d713cf5511b591023a6f00b5,ce87ea9550c1bf6690c99dc7af478ea871c0c384
202404241651_EB_dbgi_003206_01_01.mzML,24b720129a5ba5cefa1df01b3c4cfe3f16d9097e,548df82e205dbb50a6e66e78b7d857f729799d3f
20240307_EB_dbgi_002482_01_01.mzML,a03cca45b80ff282100a42d658623d91b34ff534,932b5825d5c6ec9e54368984117e9fdc4dacbb83
20240405_EB_dbgi_002475_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,a05bbef26afdb8b74f92985253b2c7b1c2bd79aa,5e1d18d9759b3b677ff60ba04f0ffd3da4dcae2d
202404191203_HC_dbgi_002782_01_01.mzML,6359118d0fe97c48bfa401487ec10945c84bbd73,2fd8329b739769694eef263894c7ad5a99b84435
202405241509_EB_dbgi_001783_01_01.mzML,a3c4efe2e9a86282a77a81355c4aa0c0a08980b1,640f5e9b1de472d3c2165b3500471bc3d0cb3ac9
202405081555_EB_dbgi_003009_01_01.mzML,eec226b76ce7fa062efb86cf949c05360c5df449,b043a813f2f749dfd81b41ed9c4f30a6a4993179
202404191203_HC_dbgi_002801_01_01.mzML,0ad23a29af428ba5968dc7d3ff2703da0eaec785,d6bcac0b9e04f0cc5d54dab5d8c044bf9fbcb0f9
202405081555_EB_dbgi_002609_01_01.mzML,89ae95e29a7fdda4c696012fd9183c3c5027a048,bb92425ce5db87d586bfb881631dae8f5e0056c1
20240307_EB_dbgi_001935_01_01.mzML,98c343151b6e7f84b23ef53faca48222df3844e2,d5f0b6069a18053f7e6a9fd7806bd001888c8f97
20240307_EB_dbgi_001859_01_01.mzML,41c0761533b2ffbe8a30a6d7aca0a6564a77993e,8fb87bb4dd6cfe47392c3391ae44d9e891611abe
202405241509_EB_dbgi_002736_01_01.mzML,8d6b92bfb38b9ee56e743a514bdd51cd205e8952,be5bd1462c7410c4d87404a76e3c8b5b8bac777d
202404191203_HC_dbgi_002952_01_01.mzML,e8a920ac15d2e406095f60a727cc9372d24221dd,1f68e85efc1b2b8021d89e47f39d0cb6aea8ddf0
20240307_EB_dbgi_001838_01_01.mzML,75990f0564a1226ae750e67369fefd2b255e85af,e6fbdb6d20916a3cd9e8f0f6705ad265b4149413
20240307_EB_dbgi_001860_01_01.mzML,21af4dcdaf548d8bfaae7220ec9402f7bbb8e672,96be10a56aab81983598197be116667f8d810f9a
202405081555_EB_dbgi_002935_01_01.mzML,f4e5503a0a4d7648b75b558e23f50306b09598a2,909b2683851ac6d717ec35f7d9d2506c152ca475
202404191203_HC_dbgi_002768_01_01.mzML,10a7de7f04b833ca016404175b543ed05ac33416,515c604b081f4d4c58bd4c95f903b6ffa7e1d48f
202405081555_EB_dbgi_002251_01_01.mzML,506b68023bd2606dcbfc45b90af0733652654f65,ff74acdf09253c860964b8702bf33634a1670115
202405081555_EB_dbgi_002554_01_01.mzML,7a38950f97bd18b4431b85c592ef1f7f87fdaa8e,cff8d492f70d69293f4d9af587429bbf1ed333d1
20240307_EB_dbgi_003046_01_01.mzML,e5783fab6e7c66dad5e3a39276e19ca6cca15b6e,c161786edc016db35225628001334c0139ec6f00
202404191203_HC_dbgi_001794_01_01.mzML,1178677b19da21c1f4bb7e59977f508faaecb98b,8b92781aec7d2cf300231a7421e5456f567c5eac
202404191203_HC_dbgi_002881_01_01.mzML,979fdf92c0123d947fae98f9ae91c15b2a5a83fd,14945783d1678881990cb7b11ee2f301015d8054
20240307_EB_dbgi_002732_01_01.mzML,426cb942a6594983604515aa5f82a18cf9cb4bd9,31d1090d470a1258624f0dc23d90936605a8d21c
202405081555_EB_dbgi_001839_01_01.mzML,fcbe576d27022656fa77d0ded0ebd60697f384a8,723589363883ffd7f0b6722c1b0b99f67fe1ce93
202405081555_EB_dbgi_001784_01_01.mzML,cc796d69a5d608a46cd6e89c9163e30d85d0a0c5,f2753e7a3f9a78ea7ed622b7aedec5afefd53c17
20240307_EB_dbgi_003040_01_01.mzML,462df7c38d4d9f6901e6b6f389d3ea8f9c7b760e,0c05887aaf83b86bfe07b38fe81f42a8f962568e
20240307_EB_dbgi_002332_01_01.mzML,29dd9d49a99193e9a9c963ccaaedd9fcc7c07955,a7140ba76ca3a7b280ef0f18b137dea99635cdb0
20240307_EB_dbgi_001862_01_01.mzML,1e49513e5619e7309b3d62e40e64e00eb9ad0aa7,cf4bb6b45652d8f8c63788f0587097c75f004332
20240307_EB_dbgi_002374_01_01.mzML,954af0f25267d388173b4c6dde653209321e9235,6101b4d6e1288dbcba9303e696a9f0d6a9619cf3
20240307_EB_dbgi_002622_01_01.mzML,0ea6d6c889894f7c384f2abefbe88badf3b91759,62d51dac1127da398055d105a6ea18b583249bfe
