filename	sample_id	sample_type
20240405_EB_dbgi_002875_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002875_01_01	sample
20240405_EB_dbgi_002876_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002876_01_01	sample
20240405_EB_dbgi_002882_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002882_01_01	sample
20240405_EB_dbgi_002887_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002887_01_01	sample
20240405_EB_dbgi_002892_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002892_01_01	sample
20240405_EB_dbgi_002895_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002895_01_01	sample
20240405_EB_dbgi_002896_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002896_01_01	sample
20240405_EB_dbgi_002902_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002902_01_01	sample
20240405_EB_dbgi_002904_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002904_01_01	sample
20240405_EB_dbgi_002905_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002905_01_01	sample
20240405_EB_dbgi_002907_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002907_01_01	sample
20240405_EB_dbgi_002918_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002918_01_01	sample
20240405_EB_dbgi_002919_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002919_01_01	sample
20240405_EB_dbgi_002922_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002922_01_01	sample
20240405_EB_dbgi_002927_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002927_01_01	sample
20240405_EB_dbgi_002928_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002928_01_01	sample
20240405_EB_dbgi_002946_02_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002946_02_01	sample
20240405_EB_dbgi_002948_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002948_01_01	sample
20240405_EB_dbgi_002949_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002949_01_01	sample
20240405_EB_dbgi_002950_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002950_01_01	sample
20240405_EB_dbgi_002953_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002953_01_01	sample
